2,144.988968,-37.82445
4,144.988968,-37.82445
1,144.988449,-37.8245277
0,144.990158,-37.8240738
3,144.990158,-37.8240738
2,144.988785,-37.8248062
4,144.988785,-37.8248062
2,144.987579,-37.8245926
1,144.986847,-37.8241348
1,144.990631,-37.82491
1,144.991013,-37.8248253
2,144.986191,-37.8242
2,144.9895,-37.8211479
1,144.993484,-37.8252373
1,144.983643,-37.8224335
2,144.983185,-37.8238258
2,144.982132,-37.8238525
1,144.996109,-37.82554
1,144.990219,-37.81753
1,144.989685,-37.81739
2,144.989822,-37.8172722
1,144.9924,-37.81775
2,144.9902,-37.81719
0,144.99707,-37.8264046
2,144.987778,-37.83074
1,144.986984,-37.81654
1,144.998154,-37.8240547
2,144.987991,-37.8310432
1,144.997818,-37.8257828
1,144.9981,-37.82576
1,144.997787,-37.8266144
1,144.998535,-37.8218422
1,144.984818,-37.8163376
2,144.988892,-37.83177
0,144.9841,-37.81653
1,144.996857,-37.81825
1,144.997208,-37.81844
1,144.997452,-37.82877
1,144.997269,-37.82897
1,144.99881,-37.8203049
1,144.979126,-37.81959
2,144.990265,-37.8149567
2,144.9905,-37.81497
0,144.991425,-37.8149452
1,144.997,-37.83048
1,144.997177,-37.83037
2,144.987564,-37.8330154
1,144.998734,-37.81849
2,144.990387,-37.8330269
1,144.999084,-37.8187256
2,144.990875,-37.8333931
2,144.987442,-37.83427
1,144.979782,-37.8157463
2,144.992828,-37.83396
1,144.996628,-37.8327637
1,145.001373,-37.81875
2,144.990967,-37.8127022
1,145.002579,-37.8262634
2,144.990723,-37.81243
1,144.976212,-37.8181648
1,144.999573,-37.8159561
1,144.982346,-37.83407
1,144.982422,-37.83434
1,144.977158,-37.81545
1,144.979523,-37.8337936
1,145.003571,-37.81898
1,144.976654,-37.81547
1,144.999878,-37.8143158
2,144.986984,-37.8364334
1,145.000046,-37.8143272
2,144.986847,-37.83655
2,144.997009,-37.83494
1,145.0049,-37.8265076
1,145.005112,-37.8263931
2,144.9911,-37.8105965
1,144.9777,-37.8335724
1,144.982071,-37.8359642
2,144.991333,-37.8103256
0,144.9925,-37.8103943
2,144.989471,-37.8099327
2,145.000381,-37.834053
2,145.0002,-37.8342743
1,144.99617,-37.8363762
1,144.974609,-37.81532
1,144.991074,-37.80977
1,144.990967,-37.8097343
2,144.9714,-37.8267746
2,144.971344,-37.8265877
1,144.9929,-37.80984
1,144.97084,-37.8246956
1,145.0002,-37.812603
2,144.989883,-37.80941
1,144.992584,-37.8096581
1,145.006927,-37.8265953
2,144.986633,-37.8381653
4,144.986633,-37.8381653
1,144.985733,-37.80929
1,145.000427,-37.812252
1,144.974625,-37.83316
1,144.996124,-37.81016
1,144.971375,-37.8288269
1,144.985489,-37.8091965
1,144.995789,-37.8099937
1,144.986755,-37.8384056
1,144.984451,-37.8381538
1,144.981934,-37.83755
1,145.00737,-37.82679
0,144.99234,-37.8384438
1,144.9895,-37.8387871
1,144.9821,-37.8378448
2,144.9829,-37.8092041
4,144.9829,-37.8092041
2,144.969543,-37.82356
0,145.007553,-37.8275566
2,144.984,-37.80882
4,144.984,-37.80882
1,144.971817,-37.8162155
1,144.9827,-37.8089752
1,144.992172,-37.8391266
1,144.982452,-37.80887
1,144.9739,-37.8340034
1,144.9739,-37.8341026
2,144.97168,-37.83179
1,144.973373,-37.8135529
1,144.969025,-37.82078
1,144.972137,-37.83262
1,144.970856,-37.81646
2,144.971985,-37.8148956
1,145.000626,-37.8107224
2,144.975266,-37.8356171
2,144.968521,-37.8235855
1,144.974442,-37.8123627
1,145.0008,-37.81065
